地区(城市),区域,部级,司局级,其他人员,旺季地区,旺季期间,部级(旺季),司局级(旺季),其他人员(旺季)
北京,全市,1100,650,500,,,,,
天津,"6个中心城区、滨海新区、东丽区、西青区
、津南区、北辰区、武清区、宝坻区、静海
区、蓟县",800,480,380,,,,,
天津,宁河区,600,350,320,,,,,
河北,"石家庄市、张家口市、秦皇岛市、廊坊市
、承德市、保定市",800,450,350,张家口市,"7-9月、
11-3月",1200,675,525
河北,,,,,秦皇岛市,7-8月,1200,680,500
河北,,,,,承德市,7-9月,1000,580,580
河北,其他地区,800,450,310,,,,,
山西,太原市、大同市、晋城市,800,480,350,,,,,
山西,临汾市,800,480,330,,,,,
山西,阳泉市、长治市、晋中市,800,480,310,,,,,
山西,其他地区,800,400,240,,,,,
内蒙古,呼和浩特市,800,460,350,,,,,
内蒙古,其他地区,800,460,320,"海拉尔市、满洲里
市、阿尔山市",7-9月,1200,690,480
内蒙古,,,,,二连浩特市,7-9月,1000,580,400
内蒙古,,,,,额济纳旗,9-10月,1200,690,480
辽宁,沈阳市,800,480,350,,,,,
辽宁,其他地区,800,480,330,,,,,
大连,全市,800,490,350,全市,7-9月,960,590,420
吉林,长春市、吉林市、延边州、长白山管理区,800,450,350,"吉林市、延边州、长
白山管理区",7-9月,960,540,420
吉林,其他地区,750,400,300,,,,,
黑龙江,哈尔滨市,800,450,350,哈尔滨市,7-9月,960,540,420
黑龙江,其他地区,750,450,300,"牡丹江市、伊春市
、大兴安岭地区、黑
河市、佳木斯市",6-8月,900,540,360
上海,全市,1100,600,500,,,,,
江苏,南京市、苏州市、无锡市、常州市、镇江市,900,490,380,,,,,
江苏,其他地区,900,490,360,,,,,
浙江,杭州市,900,500,400,,,,,
浙江,其他地区,800,490,340,,,,,
宁波,全市,800,450,350,,,,,
安徽,全省,800,460,350,,,,,
福建,福州市、泉州市、平潭综合实验区,900,480,380,,,,,
福建,其他地区,900,480,350,,,,,
厦门,全市,900,500,400,,,,,
江西,全省,800,470,350,,,,,
山东,"济南市、淄博市、枣庄市、东营市、烟台
 市、潍坊市、济宁市、泰安市、威海市、
 日照市",800,480,380,"烟台市、威海市、
 日照市",7-9月,960,570,450
山东,其他地区,800,460,360,,,,,
青岛,全市,800,490,380,全市,7-9月,960,590,450
河南,郑州市,900,480,380,,,,,
河南,其他地区,800,480,330,洛阳市,4-5月上旬,1200,720,500
湖北,武汉市,800,480,350,,,,,
湖北,其他地区,800,480,320,,,,,
湖南,长沙市,800,450,350,,,,,
湖南,其他地区,800,450,330,,,,,
广东,"广州市、珠海市、佛山市、东莞市、中山
市、江门市",900,550,450,,,,,
广东,其他地区,850,530,420,,,,,
深圳,全市,900,550,450,,,,,
广西,南宁市,800,470,350,,,,,
广西,其他地区,800,470,330,桂林市、北海市,"1-2月、
7-9月",1040,610,430
海南,"海口市、三沙市、儋州市、五指山市、文昌
市、琼海市、万宁市、东方市、定安县、屯
昌县、澄迈县、临高县、白沙县、昌江县、
乐东县、陵水县、保亭县、琼中县、洋浦开
发区",800,500,350,"海口市、文昌市、
 澄迈县",11-2月,1040,650,450
海南,,,,,"琼海市、万宁市、
 陵水县、保亭县",11-3月,1040,650,450
海南,三亚市,1000,600,400,三亚市,10-4月,1200,720,480
重庆,9个中心城区、北部新区,800,480,370,,,,,
重庆,其他地区,770,450,300,,,,,
四川,成都市,900,470,370,,,,,
四川,阿坝州、甘孜州,800,430,330,,,,,
四川,绵阳市、乐山市、雅安市,800,430,320,,,,,
四川,宜宾市,800,430,300,,,,,
四川,凉山州,750,430,330,,,,,
四川,德阳市、遂宁市、巴中市,750,430,310,,,,,
四川,其他地区,750,430,300,,,,,
贵州,贵阳市,800,470,370,,,,,
贵州,其他地区,750,450,300,,,,,
云南,"昆明市、大理州、丽江市、迪庆州、西双版
纳州",900,480,380,,,,,
云南,其他地区,900,480,330,,,,,
西藏,拉萨市,800,500,350,拉萨市,6-9月,1200,750,530
西藏,其他地区,500,400,300,其他地区,6-9月,800,500,350
陕西,西安市,800,460,350,,,,,
陕西,榆林市、延安市,680,350,300,,,,,
陕西,杨凌区,680,320,260,,,,,
陕西,咸阳市、宝鸡市,600,320,260,,,,,
陕西,渭南市、韩城市,600,300,260,,,,,
陕西,其他地区,600,300,230,,,,,
甘肃,兰州市,800,470,350,,,,,
甘肃,其他地区,700,450,310,,,,,
青海,西宁市,800,500,350,西宁市,6-9月,1200,750,530
青海,玉树州、果洛州,600,350,300,玉树州,5-9月,900,525,450
青海,海北州、黄南州,600,350,250,海北州、黄南州,5-9月,900,525,375
青海,海东市、海南州,600,300,250,海东市、海南州,5-9月,900,450,375
青海,海西州,600,300,200,海西州,5-9月,900,450,300
宁夏,银川市,800,470,350,,,,,
宁夏,其他地区,800,430,330,,,,,
新疆,乌鲁木齐市,800,480,350,,,,,
新疆,"石河子市、克拉玛依市、昌吉州、伊犁州、
阿勒泰地区、博州、吐鲁番市、哈密地区、
巴州、和田地区",800,480,340,,,,,
新疆,克州,800,480,320,,,,,
新疆,喀什地区,780,480,300,,,,,
新疆,阿克苏地区,700,450,300,,,,,
新疆,塔城地区,700,400,300,,,,,
